And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
It's a universal thing -- we play.	es ist ein universales Ding -- wir spielen .
And it's not just kids, it's adults too.	Und nicht nur die Kinder , Erwachsene auch .
Really cool term: neoteny -- the retention of play and juvenile traits in adults.	Ein sehr guter Begriff: Neotenie -- die Beibehaltung von Spielen und jugendlichen Merkmalen in Erwachsenen .
And who are the biggest neotenists?	Und wer sind die grössten Neoteniesten ?
We do it for fun, or as Olympians, or as professionals.	Wir spielen für Spaß oder als Olympier , oder als professionelle Sportler .
We play musical instruments.	Wir spielen Musikinstrumente .
We dance, we kiss, we sing, we just goof around.	Wir tanzen , küssen , singen , wir bummeln .
We're designed by nature to play from birth to old age.	Wir sind von der Natur zum Spielen programmiert schon als wir geboren waren , bis zum hohen Alter .
We're designed to do that continuously -- to play and play a lot and not stop playing.	Wir sind programmiert das ständig zu machen -- zu spielen und sehr viel zu spielen und nicht aufhören zu spielen .
It is a huge benefit.	Das ist ein grosser Vorteil .
Just like there's benefits to animals, there's benefits to humans.	Genauso wie es Vorteil für die Tiere gibt , gibt es Vorteil auch für die Menschen .
For example, it's been shown to stimulate neural growth in the amygdala, in the area where it controls emotions.	Zum Beispiel , es ist bekannt , dass Spielen das Nervenwachstum in der Amygdala stimuliert , in dem Teil , wo Emotionen kontrolliert werden .
It's been shown to promote pre-frontal cortex development where a lot of cognition is happening.	Es ist bekannt , dass Spielen im präfrontalen Cortex Entwicklung fördert , wo viel Kognition entsteht .
As a result, what happens?	Und was ist das Ergebnis ?
We develop more emotional maturity if we play more.	Wir entwickeln uns mehr emotionale Reife , falls wir mehr spielen .
We develop better decision-making ability if we play more.	Wir entwickeln bessere Entscheidungsfähigkeit , falls wir mehr spielen .
These guys are facts.	Das sind die Tatsachen .
It's not fiction, it's not story tales, it's not make-believe; it's cold, hard science.	Das ist keine Fiktion , kein Märchen , keine Phantasie; es ist unempfindliche , scharfe Wissenschaft .
These are the benefits to play.	Es gibt Vorteile im Spielen .
It is a genetic birthright that we have, like walking or speaking or seeing.	Es ist genetisches Geburtsrecht , das uns gehört , genauso wie Laufen oder Sprechen oder Sehen .
And if we handicap ourselves with play, we handicap ourselves as if we would with any other birthright that we have.	Und falls wir uns selbst mit Spielen behindern , wir behindern uns , als ob wir jedes andere Geburtsrecht , die wir haben , behindern .
We hold ourselves back.	Wir halten uns zurück .
Little exercise just for a second: close your eyes and try to imagine a world without play.	Eine kleine Aufgabe nur für eine Sekunde: schließen Sie Ihre Augen und versuchen Sie sich die Welt ohne Spielen vorzustellen .
Imagine a world without theater, without the arts, without song, without dancing, without soccer, without football, without laughter.	Stellen Sie sich vor , die Welt ohne Theater , ohne Kunst , ohne Lieder , ohne Tanzen , ohne Fußball , ohne Football ohne Lachen .
What does this world look like?	Wie wird diese Welt aussehen ?
It's pretty bleak.	Es ist sehr trostlos .
It's pretty glum.	Es ist sehr bedrückt .
Now imagine your workplace.	Jetzt stellen Sie sich ihren Arbeitsplatz vor .
Or maybe the workplace of your friends -- here we're forward thinking.	Oder vielleicht der Arbeitsplatz von Ihren Freunden -- wir denken vorwärts .
We have this concept that the opposite of play is work.	Wir haben dieses Konzept , dass das Gegenteil von Spielen Arbeit ist .
We even feel guilty if we're seen playing at work.	Wir fühlen uns sogar schuldig , wenn man uns an dem Arbeitsplatz spielen sieht .
But I have news for you: our thinking is backwards.	Aber ich habe eine Nachricht für Sie: Ihr Denken ist rückwärts .
The opposite of play is not work.	Das Gegenteil von Spielen ist nicht Arbeit .
In fact, play improves our work.	Tatsächlich , Spielen verbessert unsere Arbeit .
Just like there's benefits for humans and animals, there's benefits for play at work.	Genauso wie es Vorteile für Menschen und Tiere gibt , gibt es auch Vorteile für die Arbeit .
For example, it stimulates creativity.	Zum Beispiel , es stimuliert Kreativität .
It increases our openness to change.	Es verstärkt unser Freimut zu einer Änderung .
It improves our ability to learn.	Es verstärkt unsere Fähigkeit zu lernen .
It provides a sense of purpose and mastery -- two key motivational things that increase productivity, through play.	Und gibt uns Gefühl von Zweck und Meistersein -- zwei wesentliche motivierende Dinge , die unsere Leistungsfähigkeit verstärkern , durch Spielen .
So before you start thinking of play as just not serious, play doesn't mean frivolous.	So bevor Sie aber Spielen für nicht seriös halten , Spielen bedeutet nicht etwas frivoles .
You know, the professional athlete that loves skiing, he's serious about it, but he loves it.	Wissen Sie , der professionelle Sportler , der Ski mag , ist seriös dafür , aber er hat es gern .
He's having fun, he's in the groove, he's in the flow.	Er findet es lustig , er fühlt sich fantastisch , er macht alles perfekt .
A doctor might be serious, but laughter's still a great medicine.	Ein Doktor kann seriös sein , aber Lachen ist eine großartige Medizin .
Our thinking is backwards.	Unser Denken ist rückwärts .
We shouldn't be feeling guilty.	Wir sollen uns nicht gültig fühlen .
We should be celebrating play.	Wir sollen Spielen feiern .
Quick example from the corporate world.	Ein kurzes Beispiel aus der Firmenwelt .
FedEx, easy motto: people, service, profit.	FedEx , einfaches Motto: Menschen , Dienstleistung , Gewinn .
If you treat your people like people, if you treat them great, they're happier, they're fulfilled, they have a sense of mastery and purpose.	Wenn du deine Angestellte wie Menschen behandelst , großartig behandelst , dann sind sie glücklicher , sie haben Erfüllung , sie haben ein Gefühl von Meistersein und Zweck .
And what do great customers do, great-feeling customers?	Und was werden die glücklichen Kunden machen , die sich sehr glücklich fühlen ?
They buy more of your service and they tell more of their friends, which leads to more profit.	Sie werden mehr von Ihren Dienstleistungen kaufen und sie werden mehr ihren Freunden mitteilen , und das bedeutet einen größeren Gewinn .
People, service, profit.	Menschen , Dienstleistungen , Gewinn .
Play increases productivity, not decreases.	Spielen verstärkt Leistungsfähigkeit , es verschlechtert sie nicht .
One, play is universal.	Erstens - Spielen ist universal .
There's nothing weird about Bulgarians that we can't play, besides the serious meme that we have to kick out.	Es gibt nichts Besonderes in den Bulgaren , das sie vom Spielen abhält , abgesehen von dem seriösen Meme , das wir rausschmeißen sollen .
When I got there, we had zero happy customers.	Als ich in dieser Firma zu arbeiten anfing , gab es keine zufriedene Kunden .
Not one customer would refer us.	Kein Kunde wollte uns weiterempfehlen .
I asked them all.	Ich befragte alle Kunden .
We had marginal profit -- I did.	Wir hatten einen minimalen Gewinn . Ich hatte auch .
We had marginal profits, and we had unhappy stakeholders.	Wir hatten einen minimalen Gewinn , und unzufriedene Stakeholders .
Through some basic change, change like improving transparency, change like promoting self-direction and collaboration, encouraging collaboration, not autocracy, the things like having a results-focus.	Durch einen durchgreifenden Wandel , Wandel , wie zum Beispiel Transparenz , Wandel , wie zum Beispiel Selbststeuerung , und Zusammenarbeit , Zusammenarbeit zu fördern , und nicht Autokratie , diese Dinge sind auf Ergebnisse fokussiert .
I care that your customer and your team is happy and you're organized with that.	Es ist mir wichtig , dass dein Kunde und deine Arbeitsgruppe glücklich sein , und du bist organisiert für das .
Why do I care if you get in at nine o'clock?	Warum soll ich mich kümmern , ob du um neun Uhr kommst ?
Basically promoting fun.	Im Grunde , um Spaß zu fördern .
Through promoting fun and a great environment, we were able to transform Sciant and, in just three short years -- sounds like a long time, but change is slow -- every customer, from zero to every customer referring us, above average profits for the industry and happy stakeholders.	Durch die Förderung von Spaß und lustiger Umgebung , war es uns möglich Sciant zu verwandeln , und das nur nach drei kurzen Jahren -- es klingt wie eine sehr lange Zeit , aber die Veränderung ist langsam -- jeder Kunde , von keinen zu allen Kunden uns weiterzuempfehelen , mehr Gewinn als den durchschnittlichen Gewinn in unserer Industrie , und zufriedene Stakeholders .
And you can say, "Well how do you know they're happy?"	Sie können aber sagen , "Wie kannst du sagen , dass sie zufrieden sind ?"
Well we did win, every year that we entered, one of the rankings for best employer for small business.	Wir haben jedes Jahr gewonnen , und wurden in der Liste der besten Kleinunternehmenarbeitsgeber aufgelistet .
Independent analysis from anonymous employees on their surveys.	Unabhängige Auswertung von anonymen Arbeitnehmern in den Umfragen .
It does, and it can, work in Bulgaria.	So , es funktioniert , und es kann hier in Bulgarien funktionieren .
There's nothing holding us back, except our own mentality about play.	Nichts hält uns zurück , außer unserer eigenen Mentalität über Spielen .
So some steps that we can take -- to finish up -- how to make this revolution through play.	Manche Schritte , die wir machen können -- am Ende -- um diese Revolution durch Spielen schaffen zu können .
First of all, you have to believe me.	Zuerst , Sie sollen mir glauben .
If you don't believe me, well just go home and think about it some more or something.	Falls Sie mir nicht glauben , dann gehen Sie zu Hause und denken Sie noch eine Weile darüber oder über was anderes .
Second of all, if you don't have the feeling of play in you, you need to rediscover play.	Zweitens , falls Sie kein Gefühl zum Spielen haben , dann sollen Sie Spielen neu entdecken .
Whatever it was that as a kid you used to enjoy, that you enjoyed only six months ago, but now that you've got that promotion you can't enjoy, because you feel like you have to be serious, rediscover it.	Was auch immer Ihnen als Kind genossen haben , das Sie auch bevor sechs Monate genossen haben , aber jetzt , dass Sie den Aufstieg geschafft haben , es nicht genießen können , weil Sie fühlen , dass Sie ernst sein sollen , entdecken Sie es neu .
I don't care if it's mountain biking or reading a book or playing a game.	Es ist mir egal , ob es Mountainbike ist , oder ein Buch zu lesen , oder ein Spiel zu Spielen ,
Rediscover that because you're the leaders, the innovation leaders, the thought leaders.	entdecken Sie es neu . Weil Sie die Führungspersönlichkeiten sind , die Innovationsanführer sind , die Master der Ideen sind .
You're the ones that have to go back to the office or talk to your friends and ignite the fire of change in the play revolution.	Sie sind diese , die zurück zu Ihrer Dienststelle gehen sollen , oder mit Ihren Freunden sprechen , und das Feuer zur Änderung im Spielrevolution starten .
You guys have to, and if you're not feeling it, your colleagues, your employees, aren't going to feel it.	Sie sollen das machen , weil falls Sie das nicht fühlen , Ihre Kollegen , Angestellten werden es auch nicht fühlen .
You've got to go back and say, "Hey, I'm going to trust you."	Sie sollen zurück gehen und sagen . "Hören Sie mal , ich werde Ihnen vertrauen ."
Weird concept: I hired you; I should trust you.	Ein seltsames Konzept . Ich habe dich angestellt . Ich soll dir vertrauen .
I'm going to encourage constructive criticism.	Ich werde konstruktive Kritik fördern .
I'm going to let you challenge authority.	Ich werde dich lassen , die Autoritäten herauszufordern .
Because it's by challenging the way things are always done is that we are able to break out of the rut that we're in and create innovative solutions to problems of today.	Weil nur die Herausforderung die einzige Weise ist , die die Dinge immer gemacht werden , die einzige Möglichkeit für uns ist , den alten Trott loszuwerden , und neue kreative Lösungen für die Probleme von heute zu finden .
We're not always right as leaders.	Wir sind nicht immer richtig als Führerperson .
We're going to eradicate fear.	Wir werden die Angst besiegen .
Fear is the enemy of play.	Angst ist der Feind vom Spielen .
And we're going to do things like eliminate restrictions.	Und wir werden Dinge machen , wie zum Beispiel Einschränkungen eliminieren .
You know what, let them use their mobile phone for personal calls -- heaven forbid.	Wissen Sie was , lassen Sie sie ihre Handys benutzen für Privatgespräche -- Gott behüte .
Let them be on the Internet.	Lassen Sie sie im Internet surfen .
Let them be on instant messengers.	Lassen Sie sie im Chat zu sein .
Let them take long lunches.	Lassen Sie sie lange Mittagessen haben .
Lunch is like the recess for work.	Mittagessen ist wie Urlaub von der Arbeit .
It's when you go out in the world and you recharge your brain, you meet your friends, you have a beer, you have some food, you talk, you get some synergy of ideas that maybe you wouldn't have had before.	Es ist die Zeit , wenn Sie draußen in die Welt gehen , und Ihr Gehirn aufladen , Freunde treffen , ein Bier trinken , etwas essen , sprechen , und dann bekommen Sie Synergie von Ideen , Die Sie niemals bevor hatten .
So in summary, we need a drastic change in the way we think and behave, but we don't need a workers' revolution.	So in Zusammenfassung , wir brauchen einen durchgreifenden Wandel in unserem Denken und Verhalten , aber wir brauchen keine Revolution der Angestellten .
We don't need a workers' revolution.	Wir brauchen keine Revolution der Angestellten .
What we need is a players' uprising.	Was wir brauchen ist einen Aufstand der Spielern .
What we need is a players' uprising.	Was wir brauchen ist einen Aufstand der Spielern .
What we need is a players' uprising.	Was wir brauchen ist einen Aufstand der Spielern .
Seriously, we need to band together.	Ganz im Ernst , wir sollen uns zusammenschließen .
Today is the start of the uprising.	Heute soll der Anfang von dem Aufstand stattfinden .
But what you need to do is fan the flames of the revolution.	Aber was Sie tun sollen , ist das Feuer der Revolution entfachen .
You need to go and share your ideas and your success stories of what worked about reinvigorating our lives, our schools, and our work with play; about how play promotes a sense of promise and self-fulfillment; of how play promotes innovation and productivity, and, ultimately, how play creates meaning.	Sie sollen Ihre Ideen und Erfolgsgeschichten teilen , was funktioniert hat und unser Leben , unsere Schulen , und unsere Arbeit durch Spielen wiederbelebt hat; Wie Spielen ein Gefühl von Versprechen und Selbstverwirklichung fördert; Wie Spielen Innovation und Produktivität fördert; und schließlich , wie Spielen einen Sinn schafft .
Thank you.	Danke schön .
Radical openness is still a distant future in the field of school education.	In der Schulbildung sind wir von einer kompromisslosen Offenheit noch weit entfernt .
We have such a hard time figuring out that learning is not a place but an activity.	Wir tun uns schwer genug damit , Lernen als Aktivität und nicht als Ort zu erkennen .
But I want to tell you the story of PISA, OECD's test to measure the knowledge and skills of 15-year-olds around the world, and it's really a story of how international comparisons have globalized the field of education that we usually treat Look at how the world looked in the 1960s, in terms of the proportion of people who had completed high school.	Aber lassen Sie uns jetzt über PISA reden , die weltweite Studie der OECD zur Evaluierung von Wissen und Fähigkeiten . Denn durch PISA wurde die Schulbildung , die in der Regel eine nationale Angelegenheit ist , Sehen wir uns mal die Situation in den 60ern an , in Bezug auf den Anteil der Bevölkerung mit Abitur .
You can see the United States ahead of everyone else, and much of the economic success of the United States draws on its long-standing advantage as the first mover in education.	Sie sehen , die USA sind an erster Stelle , und ein Großteil des ökonomischen Erfolgs der USA ist mit diesem traditionellen Vorteil als Vorreiter in der Schulbildung verknüpft .
But in the 1970s, some countries caught up.	Aber in den 70ern holten einige Länder auf .
In the 1980s, the global expansion of the talent pool continued.	In den 80ern schritt die globale Ausweitung des Talent-Pools fort .
And the world didn't stop in the 1990s.	Die Welt endete nicht in den 90ern .
In the '90s, it was 13th, and not because standards had fallen, but because they had risen so much faster elsewhere.	In den 90er Jahren an 13 . Stelle , und das nicht wegen eines sinkenden Niveaus , sondern weil das Niveau anderswo schneller angestiegen ist .
Korea shows you what's possible in education.	Anhand von Korea wird deutlich , was möglich ist .
Two generations ago, Korea had the standard of living of Afghanistan today, and was one of the lowest education performers.	Vor zwei Generationen war der Lebensstandard in Korea auf dem des heutigen Afghanistans und es schnitt bei der Schulbildung mit am Schlechtesten ab .
Today, every young Korean finishes high school.	Heute hat jeder junge Mensch in Korea Abitur .
So this tells us that, in a global economy, it is no longer national improvement that's the benchmark for success, but the best performing education systems internationally.	In einer globalen Wirtschaft ist nicht mehr der nationale Fortschritt der Maßstab , sondern die leistungsstärksten Bildungssysteme auf internationaler Ebene .
The trouble is that measuring how much time people spend in school or what degree they have got is not always a good way of seeing what they can actually do.	Das Problem ist , dass eine Angabe über die Dauer der Schulzeit oder über den Abschluss nicht immer darlegt , was diese Menschen tatsächlich leisten können .
Look at the toxic mix of unemployed graduates on our streets, while employers say they cannot find the people with the skills they need.	Wir haben jede Menge arbeitsloser Studienabgänger auf den Straßen und gleichzeitig klagen Arbeitgeber über einen Fachkräftemangel .
And that tells you that better degrees don't automatically translate into better skills and better jobs and better lives.	Dies besagt , dass ein besserer Abschluss nicht automatisch mit besseren Fähigkeiten , einem besseren Arbeitsplatz und einem besseren Leben einhergeht .
So with PISA, we try to change this by measuring the knowledge and skills of people directly.	Mit der PISA-Studie versuchen wir dies nun zu ändern , indem wir das Wissen und die Fähigkeiten der jungen Leute direkt messen .
And we took a very special angle to this.	Wir tun dies aus einem speziellen Blickwinkel .
We were less interested in whether students can simply reproduce what they have learned in school, but we wanted to test whether they can extrapolate from what they know and apply their knowledge in novel situations.	Unser Interesse galt nicht dem Wiedergeben von Erlerntem seitens der Schüler . Wir wollten wissen , ob sie das Erlernte abstrahieren und ihr Wissen auf neue Situationen anwenden können .
Now, some people have criticized us for this.	Wir sahen uns dabei einiger Kritik gegenüber .
They say, you know, such a way of measuring outcomes is terribly unfair to people, because we test students with problems they haven't seen before.	Nämlich dass diese Art von Ergebnismessung sehr unfair sei , weil wir die Schüler vor Probleme stellen , auf die sie noch nie gestoßen waren .
But if you take that logic, you know, you should consider life unfair, because the test of truth in life is not whether we can remember what we learned in school, but whether we are prepared for change, whether we are prepared for jobs that haven't been created, to use technologies that haven't been invented, to solve problems we just can't anticipate today.	Aber nach dieser Logik ist das ganze Leben unfair , denn die wahre Prüfung im Leben besteht nicht darin , ob wir uns an den Schulstoff erinnern , sondern ob wir bereit für Veränderungen sind , ob wir bereit sind für Jobs , die noch nicht existieren , bereit , Technologien zu verwenden , die noch nicht erfunden sind und Probleme zu lösen , die wir heute noch nicht ahnen können .
And once hotly contested, our way of measuring outcomes has actually quickly become the standard.	Und unser einst umstrittenes Verfahren zur Ergebnismessung wurde rasch zum Standard .
In our latest assessment in 2009, we measured 74 school systems that together cover 87 percent of the economy.	Bei unserer letzten Auswertung 2009 erfassten wir 74 Schulsysteme , die zusammen 87 % der Wirtschaft ausmachen .
This chart shows you the performance of countries.	Diese Tabelle zeigt die Leistung nach Ländern .
In red, sort of below OECD average.	Rot bedeutet unter dem OECD-Durchschnitt ,
Yellow is so-so, and in green are the countries doing really well.	gelb bedeutet mittelmäßig und die Länder in grün sind am stärksten .
You can see Shanghai, Korea, Singapore in Asia; Finland in Europe; Canada in North America doing really well.	Wir haben hier Shanghai , Korea und Singapur in Asien; Finnland in Europa; und Kanada in Nordamerika .
three and a half school years between 15-year-olds in Shanghai and 15-year-olds in Chile, and the gap grows to seven school years when you include the countries with really poor performance.	15-Jährigen in Shanghai und 15-Jährigen in Chile beträgt fast 3 ,5 Schuljahre . Diese Lücke wächst auf 7 Jahre an , wenn wir die Länder einschließen , die wirklich schlecht abschneiden .
There's a world of difference in the way in which young people are prepared for today's economy.	Junge Leute werden sehr unterschiedlich auf die heutige Wirtschaft vorbereitet .
But I want to introduce a second important dimension into this picture.	Aber ich möchte in diesem Kontext eine zweite , wichtige Dimension einführen .
Educators like to talk about equity.	Pädagogen sprechen gerne über Gleichheit .
With PISA, we wanted to measure how they actually deliver equity, in terms of ensuring that people from different social backgrounds have equal chances.	Mit der PISA-Studie wollten wir erfassen , wie diese Gleichheit , die dafür sorgt , dass Schüler aus verschiedenem Umfeld die gleichen Chancen haben , in der Realität aussieht .
And we see that in some countries, the impact of social background on learning outcomes is very, very strong.	Und wir sehen , dass der Einfluss des Umfelds auf die Lernleistung in manchen Ländern sehr , sehr stark ist .
Opportunities are unequally distributed.	Chancen sind ungleich verteilt .
A lot of potential of young children is wasted.	Viel Potential von Kindern wird verschwendet .
We see in other countries that it matters much less into which social context you're born.	In anderen Ländern kommt es viel weniger auf das soziale Umfeld der Kinder an .
We all want to be there, in the upper right quadrant, where performance is strong and learning opportunities are equally distributed.	Wir alle wollen hier sein , im Quadranten rechts oben , in dem die Leistung stark und Lernchancen gleich verteilt sind .
Nobody, and no country, can afford to be there, where performance is poor and there are large social disparities.	Niemand und kein Land kann es sich leisten , dort zu sein , wo die Leistung schlecht ist und große soziale Disparitäten herrschen .
And then we can debate, you know, is it better to be there, where performance is strong at the price of large disparities?	Dann steht die Debatte an , ob es besser ist , dort zu sein , wo die Leistung stark ist und dafür große Disparitäten in Kauf zu nehmen ?
Or do we want to focus on equity and accept mediocrity?	Oder einigen wir uns auf Gleichheit und akzeptieren Mittelmäßigkeit ?
But actually, if you look at how countries come out on this picture, you see there are a lot of countries that actually are combining excellence with equity.	Wenn wir die Leistung der Länder diesbezüglich betrachten , sehen wir viele Länder , die hervorragende Leistungen mit Gleichheit verbinden .
In fact, one of the most important lessons from this comparison is that you don't have to compromise equity to achieve excellence.	In der Tat ist eine der wichtigsten Lektionen , aus diesem Vergleich , dass Gleichheit nicht zugunsten hervorragender Leistungen geopfert werden muss .
These countries have moved on from providing excellence for just some to providing excellence for all, a very important lesson.	Diese Länder haben den Schritt von der Leistung für wenige zur Leistung für alle gemacht , eine sehr wichtige Lektion .
And that also challenges the paradigms of many school systems that believe they are mainly there to sort people.	Diese Lektion fordert das Denken vieler Schulsysteme heraus , die hauptsächlich Schüler aussortieren .
And ever since those results came out, policymakers, educators, researchers from around the world what's behind the success of those systems.	Seit Veröffentlichung dieser Ergebnisse versuchen nun Entscheidungsträger , Pädagogen und Forscher weltweit was hinter dem Erfolg dieser Systeme steckt .
But let's step back for a moment and focus on the countries that actually started PISA, and I'm giving them a colored bubble now.	Gehen wir einen Schritt zurück und konzentrieren uns auf die Länder , in denen PISA anfing – sie sind jetzt mit einem bunten Kreis markiert .
And I'm making the size of the bubble proportional to the amount of money that countries spent on students.	Die Größe des Kreises gleiche ich jetzt proportional an die Ausgaben der jeweiligen Länder für Schüler an .
If money would tell you everything about the quality of learning outcomes, you would find all the large bubbles at the top, no?	Wäre Geld entscheidend bei der Qualität der Lernergebnisse , müssten die großen Kreise ganz oben sein .
But that's not what you see.	Aber so ist es nicht .
Spending per student only explains about, well, less than 20 percent of the performance variation among countries, and Luxembourg, for example, the most expensive system, doesn't do particularly well.	Die Ausgaben pro Schüler sind nur zu unter 20 % für die Leistungsschwankungen zwischen den Ländern verantwortlich . Luxemburg etwa , das teuerste System , schneidet nicht besonders gut ab .
What you see is that two countries with similar spending achieve very different results.	Wir sehen , dass zwei Länder mit ähnlichen Ausgaben sehr unterschiedliche Ergebnisse erzielen .
You also see -- and I think that's one of the most encouraging findings -- that we no longer live in a world that is neatly divided between rich and well-educated countries, and poor and badly-educated ones, a very, very important lesson.	Wir sehen auch – und das ist eines der ermutigstenden Ergebnisse – , dass unsere Welt nicht mehr aufgeteilt ist in reiche Länder mit hohem Bildungsniveau und arme Länder mit niedrigem Bildungsniveau . Das ist ein enorm wichtiges Ergebnis .
Let's look at this in greater detail.	Nun einmal mehr im Detail .
The red dot shows you spending per student relative to a country's wealth.	Der rote Punkt gibt die prozentualen Ausgaben eines Landes pro Schüler an .
One way you can spend money is by paying teachers well, and you can see Korea investing a lot in attracting the best people into the teaching profession.	Geld kann für Lehrergehälter ausgegeben werden Korea etwa investiert viel , um die Lehrerlaufbahn attraktiv zu machen .
And Korea also invests into long school days, which drives up costs further.	Ein langer Schultag lässt die Kosten weiter steigen .
Last but not least, Koreans want their teachers not only to teach but also to develop.	Und zudem sollen die Lehrer nicht nur unterrichten , sondern sich auch fortbilden .
They invest in professional development and collaboration and many other things.	Korea investiert viel in die berufliche Weiterentwicklung , Zusammenarbeit und mehr .
All that costs money.	All dies kostet Geld .
How can Korea afford all of this?	Wie kann sich Korea dies alles leisten ?
The answer is, students in Korea learn in large classes.	Koreas Schüler sitzen in großen Klassen .
This is the blue bar which is driving costs down.	Das senkt die Kosten , sichtbar am blauen Balken .
You go to the next country on the list, Luxembourg, and you can see the red dot is exactly where it is for Korea, so Luxembourg spends the same per student as Korea does.	Beim nächsten Land , Luxemburg , ist der rote Punkt an derselben Stelle wie bei Korea , was bedeutet , dass Luxemburg die gleichen Ausgaben pro Schüler hat wie Korea .
But, you know, parents and teachers and policymakers in Luxembourg all like small classes.	Aber Eltern , Lehrer und Entscheidungsträger in Luxemburg plädieren für kleine Klassen .
You know, it's very pleasant to walk into a small class.	Es ist ja ganz angenehm , in eine kleine Klasse zu kommen .
So they have invested all their money into there, and the blue bar, class size, is driving costs up.	Das ganze Geld wurde also dafür verwendet und der blaue Balken , die Klassengröße , lässt die Kosten steigen .
But even Luxembourg can spend its money only once, and the price for this is that teachers are not paid particularly well.	Aber selbst Luxemburg kann das Geld nur einmal ausgeben und der Preis dafür ist , dass Lehrer nicht besonders gut bezahlt sind .
Students don't have long hours of learning.	Die Schüler müssen nicht stundenlang lernen .
And basically, teachers have little time to do anything else than teaching.	Wodurch Lehrer sehr viel unterrichten müssen .
So you can see two countries spent their money very differently, and actually how they spent their money matters a lot more than how much they invest in education.	Diese zwei Länder geben ihr Geld also ganz unterschiedlich aus . Wofür sie ihr Geld ausgeben , ist weitaus entscheidender , als die Menge des für Bildung ausgegebenen Geldes .
Let's go back to the year 2000.	Zurück ins Jahr 2000 .
Remember, that was the year before the iPod was invented.	Das war ein Jahr vor Erfindung des iPod .
This is how the world looked then in terms of PISA performance.	So sahen die PISA-Ergebnisse damals weltweit aus .
The first thing you can see is that the bubbles were a lot smaller, no?	Zunächst sehen Sie , dass die Kreise viel kleiner waren , nicht wahr ?
We spent a lot less on education, about 35 percent less on education.	Wir haben viel weniger für Bildung ausgegeben , etwa 35 % weniger .
So you ask yourself, if education has become so much more expensive, has it become so much better?	Wenn Bildung so viel teurer geworden ist , ist sie auch besser geworden ?
And the bitter truth really is that, you know, not in many countries.	Die bittere Wahrheit ist , dass sie nur in wenigen Ländern besser geworden ist .
But there are some countries which have seen impressive improvements.	Aber in einigen Ländern haben wir massive Verbesserungen gesehen .
Germany, my own country, in the year 2000, featured in the lower quadrant, below average performance, large social disparities.	Deutschland etwa , mein Heimatland , befand sich im Jahr 2000 im unteren Quadranten , unterdurchschnittliche Leistung , große soziale Ungleichheiten .
And remember, Germany, we used to be one of those countries that comes out very well when you just count people who have degrees.	Und erinnern Sie sich , dass Deutschland sehr gut abschneidet , wenn wir nur die Bewohner mit Universitätsabschluss zählen .
Very disappointing results.	Sehr enttäuschende Ergebnisse .
People were stunned by the results.	Niemand mochte es recht glauben .
And for the very first time, the public debate in Germany was dominated for months by education, not tax, not other kinds of issues, but education was the center of the public debate.	Und zum ersten Mal war die öffentliche Debatte in Deutschland monatelang vom Thema Bildung geprägt . Nicht Steuern oder andere Probleme , sondern die Bildung stand im Fokus der öffentlichen Diskussion .
And then policymakers began to respond to this.	Und Entscheidungsträger haben darauf reagiert .
The federal government dramatically raised its investment in education.	Die Bundesregierung erhöhte die Bildungsausgaben drastisch .
A lot was done to increase the life chances of students with an immigrant background or from social disadvantage.	Und es wurde viel unternommen , um Schülern mit Migrationshintergrund oder aus sozial schwachen Familien die gleichen Chancen zu geben .
And what's really interesting is that this wasn't just about optimizing existing policies, but data transformed some of the beliefs and paradigms underlying German education.	Und das Interessante ist , dass es nicht um die Optimierung der bestehenden Politik ging , sondern dass diese Daten grundlegende Annahmen und Überzeugungen des deutschen Bildungssystems veränderten .
For example, traditionally, the education of the very young children where women were seen as neglecting their family responsibilities when they sent their children to kindergarten.	Traditionell war bis dahin die Kleinkindererziehung Frauen galten schnell als Rabenmütter , wenn sie ihre Kinder in den Kindergarten schickten .
PISA has transformed that debate, and pushed early childhood education right at the center of public policy in Germany.	PISA hat diese Debatte transformiert und die Früherziehung ins Zentrum der öffentlichen Politik in Deutschland gerückt .
Or traditionally, the German education divides children at the age of 10, very young children, between those deemed to pursue careers of knowledge workers and those who would end up working for the knowledge workers, and that mainly along socioeconomic lines, and that paradigm is being challenged now too.	Ein anderes Beispiel: Das deutsche System teilt Kinder bereits mit 10 Jahren in zwei Gruppen auf: die einen werden zu Wissensarbeitern , die anderen werden für die Wissensarbeiter arbeiten . Und diese Aufteilung erfolgt entlang des sozialwirtschaftlichen Grabens . Auch dieses Denkmuster wird jetzt herausgefordert .
A lot of change.	Viele Veränderungen .
And the good news is, nine years later, you can see improvements in quality and equity.	Und die gute Nachricht ist , dass sich 9 Jahre später Verbesserungen bei der Qualität und Gleichheit zeigen .
People have taken up the challenge, done something about it.	Man hat die Herausforderung angenommen und etwas unternommen .
Or take Korea, at the other end of the spectrum.	Oder nehmen wir Korea , am anderen Ende des Spektrums .
In the year 2000, Korea did already very well, but the Koreans were concerned that only a small share of their students achieved the really high levels of excellence.	Das Land schnitt im Jahr 2000 sehr gut ab , aber man war besorgt , dass nur ein kleiner Teil der Schüler wirklich gute Ergebnisse erzielte .
